Company Name,Country,Sector,Website,Status,Assigned To
Naturacare,USA,Pharmaceuticals & Supplements,naturacare.jp,Open,Jayden
Nexty Electronics,USA,Electronics & Appliances,nextyelectronics.com,Open,Jayden
Gyu-Kaku,USA,Specialty Retail,gyu-kaku.com,Open,Jayden
JINYA Ramen Bar,USA,Specialty Retail,jinyaramenbar.com,Open,Jayden
AIRROBO,USA,Electronics & Appliances,us.air-robo.com,Open,Jayden
Yotsuba Japan,USA,Pharmaceuticals & Supplements,yotsubajapan.com,Open,Jayden
Sansho,USA,Furniture & Decor,sansho.com,Open,Jayden
Kawasaki Robotics,USA,Robotics & Automation,kawasakirobotics.com,Open,Jayden
YUMBO,USA,Motorcycle Parts,yumbo-jp.com,Open,Jayden
Kokka USA,USA,Textiles & Fabrics,kokkausa.com,Open,Jayden
Solaris Japan,USA,Toys & Hobby,solarisjapan.com,Open,Matsuo-san
DigiKey,USA,Electronics & Appliances,digikey.jp,Open,Jayden
Mitsui & Co. (USA),USA,Chemicals & Materials,mitsui.com,Open,Jayden
Nishohi USA,USA,Sports & Fitness,nishohi.com,Open,Jayden
Nin-Nin Game,USA,Online & Marketplace,nin-nin-game.com,Open,Jayden
My Japan Direct,USA,Automotive Parts,myjapandirect.com,Open,Matsuo-san
HLJ.com,USA,Hobby & Collectibles,hlj.com,Open,Jayden
Eastern Classics,USA,Furniture,tansushop.com,Open,Matsuo-san
Kurabo Denim,USA,Textiles & Fabrics,kurabo-denim.com,Open,Jayden
Yoigokochi,Netherlands,Food & Beverage,yoigokochi.eu,Open,Matsuo-san
NTC Wismettac Australia,Australia,Food & Beverage,wismettacusa.com,Open,Matsuo-san
Car Junction,USA,Machinery & Equipment,carjunction.com,Open,Jayden
JP-Parts.com,USA,Motorcycle Parts,jp-parts.com,Open,Jayden
Foodex Group,Europe,Food & Beverage,foodex-group.eu,Open,Matsuo-san
Shimokura Musical Instruments,USA,Music & Instruments,shimokura-gakki.com,Open,Jayden
VXB Bearing Company,USA,Bearings & Industrial,vxb.com,Open,Jayden
Global Cutlery USA,USA,Kitchenware & Tableware,globalcutleryusa.com,Open,Jayden
JSKK Japan,USA,Machinery & Equipment,jskk-japan.com,Open,Jayden
IRIS OHYAMA,USA,Lighting & Fixtures,irisohyama.co.jp,Open,Jayden
NSK Global,USA,Bearings & Industrial,nsk.com,Open,Jayden
Osakamachi,USA,Beauty,osakamachi.com,Open,Matsuo-san
Hobby Genki,USA,Toys & Hobby,hobby-genki.com,Open,Matsuo-san
Mildblend,USA,Fashion & Apparel,mildblend.com,Open,Jayden
NotebookTherapy,USA,Stationery & Paper,notebooktherapy.com,Open,Jayden
NTP Parts,USA,Automotive Parts,ntpparts.com,Open,Matsuo-san
Korokai,USA,Fashion & Apparel,korokai.com,Open,Jayden
Jay Enterprise,USA,Machinery & Equipment,jay.co.jp,Open,Jayden
Miss Matatabi,USA,Textiles & Fabrics,shop.missmatatabi.com,Open,Jayden
TwelveSixtyNine,USA,Eyewear & Optical,twelvesixtynine.com,Open,Jayden
Amayama Trading Co.,USA,Automotive,amayama.com,Open,Matsuo-san
Japan Funtime,USA,Anime,japanfuntime.com,Open,Matsuo-san
Shu Uemura,USA,Beauty & Cosmetics,shuuemuraartofhair-usa.com,Open,Jayden
Plaza Japan,USA,Online & Marketplace,plazajapan.com,Open,Jayden
